Max_out, Size , DFS, KAHNS 
1, 100, 0.00043120899999997685, 0.00021932000000002283
1, 500, 0.0019281490000000012, 0.0011703946000000132
1, 1000, 0.0040546726000000085, 0.002408538399999993
1, 5000, 0.020716029600000054, 0.011130373200000054
1, 10000, 0.054696263800000054, 0.03231638659999998
1, 50000, 0.26585202120000007, 0.14698209619999947
1, 100000, 0.5150998086000002, 0.30284797840000055
1, 500000, 2.7213479473999995, 1.558564408800001
1, 900000, 5.013228734799995, 2.8391583384
2, 100, 0.0004364800000018931, 0.0002259399999957168
2, 500, 0.002069396800004597, 0.0011028599999974632
2, 1000, 0.004287896800002499, 0.002235908400007247
2, 5000, 0.0220546306000017, 0.011564403599999195
2, 10000, 0.04478887479999116, 0.024461091599994232
2, 50000, 0.30141485540000873, 0.1614733555999976
2, 100000, 0.5746453799999983, 0.32808222520001207
2, 500000, 2.8800113220000183, 1.7048831688000063
2, 900000, 5.210464347600009, 3.122532441599992
3, 100, 0.00045400000000199724, 0.0002943800000025476
3, 500, 0.0021464884000010898, 0.0011718025999925886
3, 1000, 0.004637825200018142, 0.0031059968000135994
3, 5000, 0.0223899375999963, 0.012547272999995585
3, 10000, 0.051065568800004256, 0.032271193399992626
3, 50000, 0.28917401600000403, 0.16659845799999856
3, 100000, 0.5978454514000078, 0.3428213374000052
3, 500000, 2.945307450999985, 1.796753942800001
3, 900000, 5.436308602400027, 3.2699023832000194
4, 100, 0.00048237459998290433, 0.0002473399999871617
4, 500, 0.0028626238000242664, 0.0011885546000030445
4, 1000, 0.004378992599981757, 0.0024114487999895573
4, 5000, 0.023321047400008864, 0.01307504720000452
4, 10000, 0.05971671160000369, 0.03262301100000968
4, 50000, 0.302805768799999, 0.17042598740001721
4, 100000, 0.6203128849999757, 0.3559450221999668
4, 500000, 3.0596443065999663, 1.850789849800003
4, 900000, 5.5000213247999685, 3.399528955200026
5, 100, 0.0005528612000489375, 0.0002515799999855517
5, 500, 0.0023495032000028005, 0.0013054485999873578
5, 1000, 0.004562014599923714, 0.0025000832000387162
5, 5000, 0.02496910879999632, 0.01702608640002836
5, 10000, 0.059765482200009504, 0.029828746600060185
5, 50000, 0.322628490399984, 0.18473841300001367
5, 100000, 0.6686303046000376, 0.3490875085999505
5, 500000, 3.1114605924000442, 1.8596584206000444
5, 900000, 5.714933893799935, 3.498456536599997
10, 100, 0.0005399200000738346, 0.0002801000000545173
10, 500, 0.0025736629999755676, 0.0014137114000732254
10, 1000, 0.005316305200040006, 0.002834968399929494
10, 5000, 0.02812288199993418, 0.016937239199978648
10, 10000, 0.06621146099996622, 0.03520590699999957
10, 50000, 0.34339565760005825, 0.20673236560000988
10, 100000, 0.7086380510000254, 0.3995945431999644
10, 500000, 3.6096779988000436, 2.1769066295999893
10, 900000, 6.404886132999946, 4.0141836113999485
